"Predmet","Tip","Nastavnik","Grupe","Dan","Termin","Učionica"
"Dizajn i analiza algoritama","Vezbe","Todorovic Jovana","202","   ČET   ","15:15-17","U5"
"Operativni sistemi","Vezbe","Milojkovic Branislav","203","      PON      ","11:15-14","U5"
"Racunarske mreze","Vezbe","Nikolic Neven","203","     UTO     ","09:15-12","U7"
"Upravljanje informacijama","Vezbe","MarkovicAna","203","  PET  ","12:15-14","U5"
"Dizajn i analiza algoritama","Vezbe","Dejkovic Ivan","203","  PET  ","14:15-16","U4"
"Operativni sistemi","Predavanja","Milinkovic Stevan","203, 204","    SRE    ","09:15-12","U1"
"Upravljanje informacijama","Predavanja","Perisic Branko","203, 204","     UTO     ","12:15-15","U6"
"Operativni sistemi","Vezbe","Veniger Marko","204","   ČET   ","17:15-20","Rg9"
"Racunarske mreze","Vezbe","Nikolic Neven","204","      PON      ","18:15-21","U5"
"Upravljanje informacijama","Vezbe","MarkovicAna","204","     UTO     ","15:15-17","Rg9"
"Dizajn i analiza algoritama","Vezbe","Todorovic Jovana","204","      PON      ","16:15-18","U3"
"Operativni sistemi","Vezbe","Veniger Marko","205","      PON      ","11:15-14","U7"
"Racunarske mreze","Vezbe","Bojovic Petar","205","     UTO     ","15:15-18","U4"
"Digitalne komunikacije","Vezbe","Vukotic Selena","205","      PON      ","19:15-21","U4"
"Operativni sistemi","Predavanja","Milinkovic Stevan","205, 206","    SRE    ","12:15-15","U1"
"Racunarske mreze","Predavanja","Bojovic Petar","205, 206","  PET  ","13:15-16","U1"
"Napredna matematicka analiza","Vezbe","Jerotijevic Marija","205, 206","   ČET   ","18:15-20","U6"
"Digitalne komunikacije","Predavanja","Vucic Desimir","205, 206","      PON      ","16:15-19","U6"
"Operativni sistemi","Vezbe","Veniger Marko","206","   ČET   ","14:15-17","U3"
"Racunarske mreze","Vezbe","Nikolic Neven","206","    SRE    ","16:15-19","U7"
"Digitalne komunikacije","Vezbe","Vukotic Selena","206","   ČET   ","12:15-14","U4"
"Napredna matematicka analiza","Predavanja","Jovanovic Jelena","206, 205","  PET  ","16:15-18","U6"
"Engleski 4","Predavanja","Cuk Bojana","2d1, 2d2","  PET  ","13:15-15","U8"
"Graficki dizajn","Predavanja","Malesevic Nenad","2d1, 2d2","      PON      ","09:15-12","U9"
"Graficki dizajn","Vezbe","Djuric Milan","2d1, 2d2","  PET  ","10:15-13","U9"
"Graficki dizajn","Predavanja","Malesevic Nenad","2d1, 2d2","      PON      ","12:15-15","U9"
"Prostor i oblik","Predavanja","Telerovic Rosana","2d1, 2d2","    SRE    ","13:15-15","U9"
"Prostor i oblik","Vezbe","Telerovic Rosana","2d1, 2d2","    SRE    ","10:15-13","U8"
"Racunarske komunikacije","Vezbe","Majstorovic Dunja","2s1","    SRE    ","18:15-21","U4"
"Programiranje WEB aplikacija","Predavanja i vezbe","Medenica Igor","2s1","  PET  ","18:15-21","U4"
"Programiranje WEB aplikacija","Predavanja i vezbe","Medenica Igor","2s1","   ČET   ","17:15-19","U7"
"Interakcija covek racunar","Vezbe","Mijatovic Igor","2s1","    SRE    ","14:15-16","U4"
"Elektronsko poslovanje","Vezbe","Radosavljevic Nemanja","2s1","  PET  ","15:15-17","Rg9"
"Racunarske komunikacije","Predavanja","Babovic Ivan","2s1, 2s2","   ČET   ","13:15-16","U6"
"Elektronsko poslovanje","Predavanja","Popovic Snezana","2s1, 2s2","     UTO     ","13:15-16","U1"
